Commodity	Unit	"Price Aug.15 1939(cents)"	Edible Weight per $1.00 (grams)	"Calories (1000)"	Protein(grams)	Calcium(grams)	Iron(mg.)	"Vitamin A(1000 I.U)"	Thiamine(mg.)	Riboflavin(mg.)	Niacin(mg.)	Asorbic Acid (mg.)
48. Celery	1 stalk	7.3	"3915"	0.9	51	3	23	0.9	1.4	1.4	9	313
49. Lettuce	1 head	8.2	"2247"	0.4	27	1.1	22	112.4	1.8	3.4	11	449
50. Onions 	1 lb.	3.6	"11844"	5.8	166	3.8	59	16.6	4.7	5.9	21	"1184"
51. Potatoes	15 lb.	34	"16810"	14.3	336	1.8	118	6.7	29.4	7.1	198	"2522"
52. Spinach 	1 lb.	8.1	"4592"	1.1	106		138	918.4	5.7	13.8	33	"2755"
53. Sweet Potatoes	1 lb.	5.1	"7649"	9.6	138	2.7	54	290.7	8.4	5.4	83	"1912"
54. Peaches (can)	No.2.5	16.8	"4894"	3.7	20	0.4	10	21.5	0.5	1	31	196
55. Pears (can)	No.2.5	20.4	"4030"	3	8	0.3	8	0.8	0.8	0.8	5	81
56. Pineapple (can)	No.2.5	21.3	"3993"	2.4	16	0.4	8	2	2.8	0.8	7	399
57. Asparagus (can)	No.2	27.7	"1945"	0.4	33	0.3	12	16.3	1.4	2.1	17	272
58. Green Beans (can)	No.2	10	"5386"	1	54	2	65	53.9	1.6	4.3	32	431
59. Pork and Beans (can)	16 oz.	7.1	"6389"	7.5	364	4	134	3.5	8.3	7.7	56	
60. Corn (can)	No.2	10.4	"5452"	5.2	136	0.2	16	12	1.6	2.7	42	218
61. Peas (can)	No.2	13.8	"4109"	2.3	136	0.6	45	34.9	4.9	2.5	37	370
62. Tomatoes (can)	No.2	8.6	"6263"	1.3	63	0.7	38	53.2	3.4	2.5	36	"1253"
63. Tomato Soup (can)	10.5 oz.	7.6	"3917"	1.6	71	0.6	43	57.9	3.5	2.4	67	862
64. Peaches Dried	1 lb.	15.7	"2889"	8.5	87	1.7	173	86.8	1.2	4.3	55	57
65. Prunes Dried	1 lb.	9	"4284"	12.8	99	2.5	154	85.7	3.9	4.3	65	257
66. Raisins Dried	15 oz.	9.4	"4524"	13.5	104	2.5	136	4.5	6.3	1.4	24	136
67. Peas Dried	1 lb.	7.9	"5742"	20	1367	4.2	345	2.9	28.7	18.4	162	
68. Lima Beans Dried	1 lb.	8.9	"5097"	17.4	1055	3.7	459	5.1	26.9	38.2	93	
69. Navy Beans Dried	1 lb.	5.9	"7688"	26.9	1691	11.4	792		38.4	24.6	217	
70. Coffee	1 lb.	22.4	"2025"						4	5.1	50	
71. Tea	0.25 lb.	17.4	652							2.3	42	
72. Cocoa	8 oz.	8.6	"2657"	8.7	237	3	72		2	11.9	40	
73. Chocolate	8 oz.	16.2	"1400"	8	77	1.3	39		0.9	3.4	14	
74. Sugar	10 lb.	51.2	"8773"	34.9								
75. Corn Sirup	24 oz.	13.7	"4966"	14.7		0.5	74				5	
76. Molasses	18 oz.	13.6	"3752"	9		10.3	244		1.9	7.5	146	
77. Strawberry Preserves 	1 lb.	20.5	"2213"	6.4	11	0.4	7	0.2	0.2	0.4	3	
Daily allowance				3	70	0.8	12	5	1.8	2.7	18	75
												
												
